Class,Accuracy,Support
BWM 6 Series,0.7333333333333333,15
BWM 7 Series,0.6363636363636364,22
BWM 7 Series hybrid,0.4090909090909091,22
BWM X3,0.25,4
BWM X4,0.5263157894736842,19
BWM X5,0.6666666666666666,27
BWM X6,0.7307692307692307,26
BWM X6 Series hybrid,0.0,10
BWM Z4,1.0,7
BWM i3,1.0,22
BWM i8,0.4117647058823529,17
ConnectedDrive,0.7,10
EfficientDynamics,0.9,10
Active Tourer,0.7272727272727273,11
Isetta,0.6296296296296297,27
BWM 1 Series hatchback,0.39285714285714285,28
Zagato Coupe,0.0,3
BWM GINA,0.2413793103448276,29
BWM 2 Series Active Tourer,0.7727272727272727,22
Vision Future Luxury,0.7333333333333333,15
BWM 3 Series,0.0,1
BWM X1,0.7142857142857143,35
BWM 5 Series,0.5555555555555556,27
BWM 1 Series M,0.11538461538461539,26
BWM M3 coupe,0.35294117647058826,17
BWM M3,0.7142857142857143,14
BWM M4 coupe,0.6,20
BWM M5,0.0,7
BWM M6 coupe,0.7777777777777778,18
BWM M6,0.8333333333333334,6
BWM X5 M,0.6666666666666666,9
BWM X6 M,0.6,5
BWM M3 convertible,0.6428571428571429,28
BWM 1 Series convertible,0.9130434782608695,23
BWM 1 Series couple,1.0,10
BWM 2 Series,1.0,8
BWM 3 Series GT,1.0,7
BWM 3 Series convertible,0.36,25
BWM 3 Series hybrid,0.0,5
BWM 3 Series estate,0.6666666666666666,24
BWM 3 Series coupe,0.45454545454545453,22
BWM 4 Series convertible,0.6129032258064516,31
BWM 4 Series couple,0.4,20
BWM 4 Series,0.3548387096774194,31
BWM 5 Series GT,0.48148148148148145,27
BWM 5 Series hybrid,0.46153846153846156,26
BWM 5 Series estate,0.5384615384615384,26
BWM 6 Series convertible,0.8235294117647058,17
BWM 6 Series couple,0.2222222222222222,27
Baojun 610,0.45454545454545453,11
Baojun 630,0.6470588235294118,17
Baojun 730,1.0,4
Lechi,0.3333333333333333,6
Baojun 610 CROSS,1.0,15
Flying Spur,0.7272727272727273,22
Super Sport,0.75,12
Bentley Falcon,0.5555555555555556,18
Brooklands,0.2,10
Arnage,0.6086956521739131,23
Mulsanne,0.8148148148148148,27
Brabus S Class,0.11764705882352941,17
Brabus GL Class,0.9130434782608695,23
Brabus M Class,0.8148148148148148,27
Brabus smart fortwo,0.0,2
Brabus CLS Class,0.5238095238095238,21
Brabus A Class,0.5,8
Brabus B Class,0.75,4
Brabus CL Class,0.5,6
Brabus G Class,0.5384615384615384,13
Brabus SLK Class,0.0,5
Brabus SLS Class,0.0,2
Brabus SL Class,0.08333333333333333,12
Brabus E Class,0.0,7
Veyron,0.0,4
Galibier,0.75,4
Huayra,0.25,12
Chuanqi GA3,0.0,4
Chuanqi GA5,0.07692307692307693,13
Chuanqi GS5,0.3333333333333333,3
E-jet,0.25,12
e-linker,0.0,5
Cabrio-Coupe,0.8,10
Trumpchi GA3S horizon,0.6470588235294118,17
E Mei,0.9285714285714286,14
GX6,0.0,4
Saboo G3,0.7272727272727273,11
Saboo G5,0.6153846153846154,13
Saboo GX5,0.6428571428571429,28
Caiyun 100,0.2777777777777778,18
Caiyun 300,0.375,8
Caiyun 500,0.0,3
Shuaibao,0.5,4
Shuaijian,0.5714285714285714,7
Xinglang,1.0,19
Xingwang,0.9310344827586207,29
Xingwang CL,1.0,3
Xingwang L,0.625,16
Xingwang M1,1.0,4
GP150,0.7,20
Youjin,0.7142857142857143,7
Youya,0.5882352941176471,17
Youyou,0.5238095238095238,21
Youpai,0.631578947368421,19
Yousheng,0.4,5
Ciimo,0.7083333333333334,24
Tuteng T1,0.2727272727272727,11
